team	player	name	pos	carryinpercent	entriesper60	image	hex	sheet
CLB	Ryan-Johansen	Ryan Johansen	F	64	20.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-Johansen	#00285C	
BOS	Milan-Lucic	Milan Lucic	F	63	21.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Milan-Lucic	#FFC425	
BUF	Tyler-Ennis	Tyler Ennis	F	63	21.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tyler-Ennis	#002E63	
COL	Paul-Statsny	Paul Statsny	F	63	14.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Paul-Statsny	#8B2942	
FLO	Nick-Bjugstad	Nick Bjugstad	F	63	18.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nick-Bjugstad	#C8213F	
OTT	Clarke-Macarthur	Clarke Macarthur	F	63	18.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Clarke-Macarthur	#E4173E	
SJS	Logan-Couture	Logan Couture	F	63	20.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Logan-Couture	#05535D	
TBL	Teddy-Purcell	Teddy Purcell	F	63	22.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Teddy-Purcell	#013E7D	
TBL	Ondrej-Palat	Ondrej Palat	F	63	22.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ondrej-Palat	#013E7D	
EDM	Jordan-Eberle	Jordan Eberle	F	62	24.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jordan-Eberle	#E66A20	
DAL	Jamie-Benn	Jamie Benn	F	62	25.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jamie-Benn	#006A4E	
BUF	Cody-Hodgson	Cody Hodgson	F	62	20.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Cody-Hodgson	#002E67	
CAR	Jeff-Skinner	Jeff Skinner	F	62	22.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jeff-Skinner	#E03A3E	
COL	Gabriel-Landeskog	Gabriel Landeskog	F	62	24.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Gabriel-Landeskog	#8B2942	
NYR	Carl-Hagelin	Carl Hagelin	F	62	19.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Carl-Hagelin	#0161AB	
OTT	Bobby-Ryan	Bobby Ryan	F	62	22.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Bobby-Ryan	#E4173E	
SJS	Matthew-Nieto	Matthew Nieto	F	61	18.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matthew-Nieto	#05535D	
EDM	Nail-Yakupov	Nail Yakupov	F	61	18.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nail-Yakupov	#E66A20	
NJD	Travis-Zajac	Travis Zajac	F	61	18.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Travis-Zajac	#E03A3E	
TOR	Tyler-Bozak	Tyler Bozak	F	61	11.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tyler-Bozak	#003777	
ANA	Corey-Perry	Corey Perry	F	61	23.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Corey-Perry	#EF5228	
NSH	Colin-Wilson	Colin Wilson	F	61	21.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Colin-Wilson	#FDBB2F	
CAL	Matt-Stajan	Matt Stajan	F	61	18.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matt-Stajan	#E03A3E	
NYR	Rick-Nash	Rick Nash	F	61	22.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Rick-Nash	#0161AB	
NJD	Adam-Henrique	Adam Henrique	F	60	15.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Adam-Henrique	#E03A3E	
NYI	Kyle-Okposo	Kyle Okposo	F	60	25.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Kyle-Okposo	#F57D34	
VAN	Ryan-Kesler	Ryan Kesler	F	60	18.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-Kesler	#047A4A	
WPG	Mark-Scheifele	Mark Scheifele	F	60	15.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mark-Scheifele	#0168AB	
PIT	James-Neal	James Neal	F	60	22.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=James-Neal	#D1BD80	
TBL	Alex-Killorn	Alex Killorn	F	60	19.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Alex-Killorn	#013E7D	
NYR	Chris-Kreider	Chris Kreider	F	60	19.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Chris-Kreider	#0161AB	
PHO	Antoine-Vermette	Antoine Vermette	F	59	13.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Antoine-Vermette	#841F27	
ANA	Ryan-Getzlaf	Ryan Getzlaf	F	59	22.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-Getzlaf	#EF5230	
ANA	Mathieu-Perreault	Mathieu Perreault	F	59	15.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mathieu-Perreault	#EF5234	
CLB	Brandon-Dubinsky	Brandon Dubinsky	F	59	20.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brandon-Dubinsky	#00285C	
COL	John-Mitchell	John Mitchell	F	59	20.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=John-Mitchell	#8B2942	
PHO	Mike-Ribeiro	Mike Ribeiro	F	59	19.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mike-Ribeiro	#841F27	
DAL	Erik-Cole	Erik Cole	F	59	22.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Erik-Cole	#006A4E	
EDM	Ryan-Nugent-Hopkins	Ryan Nugent-Hopkins	F	59	16.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-Nugent-Hopkins	#E66A20	
DAL	Antoine-Roussell	Antoine Roussell	F	59	19.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Antoine-Roussell	#006A4E	
STL	Vladimir-Sobokta	Vladimir Sobokta	F	59	21.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Vladimir-Sobokta	#0546A11	
WPG	Bryan-Little	Bryan Little	F	59	15.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Bryan-Little	#0168AB	
MIN	Zach-Parise	Zach Parise	F	59	19.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Zach-Parise	#025736	
DET	Tomas-Tatar	Tomas Tatar	F	58	25.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tomas-Tatar	#EC1F26	
CLB	Aretem-Anisimov	Aretem Anisimov	F	58	16.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Aretem-Anisimov	#00285C	
FLO	Jonathan-Huberdeau	Jonathan Huberdeau	F	58	18.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jonathan-Huberdeau	#C8213F	
VAN	Henrik-Sedin	Henrik Sedin	F	58	17.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Henrik-Sedin	#047A4A	
PHI	Claude-Giroux	Claude Giroux	F	58	21.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Claude-Giroux	#F47940	
DET	Henrik-Zetterberg	Henrik Zetterberg	F	58	27.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Henrik-Zetterberg	#EC1F26	
MTL	Max-Pacioretty	Max Pacioretty	F	57	25.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Max-Pacioretty	#BF2F38	
STL	Alex-Steen	Alex Steen	F	57	23.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Alex-Steen	#0546A8	
CAL	Sean-Monahan	Sean Monahan	F	57	15.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Sean-Monahan	#E03A3E	
MTL	Brenden-Gallagher	Brenden Gallagher	F	57	22.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brenden-Gallagher	#BF2F38	
CHI	Andrew-Shaw	Andrew Shaw	F	57	21.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Andrew-Shaw	#E3263A	
FLO	Aleksander-Barkov	Aleksander Barkov	F	57	16.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Aleksander-Barkov	#C8213F	
PIT	Jussi-Jokinen	Jussi Jokinen	F	57	18.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jussi-Jokinen	#D1BD80	
DET	Gustav-Nyquist	Gustav Nyquist	F	57	24.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Gustav-Nyquist	#EC1F26	
NSH	Matt-Cullen	Matt Cullen	F	56	15.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matt-Cullen	#FDBB2F	
STL	Derek-Roy	Derek Roy	F	56	16.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Derek-Roy	#0546A10	
NSH	Mike-Fisher	Mike Fisher	F	56	16.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mike-Fisher	#FDBB2F	
MTL	Alex-Galchenyuk	Alex Galchenyuk	F	56	16.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Alex-Galchenyuk	#BF2F38	
OTT	Zack-Smith	Zack Smith	F	56	21.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Zack-Smith	#E4173E	
ANA	Andrew-Cogliano	Andrew Cogliano	F	56	25.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Andrew-Cogliano	#EF5231	
BOS	Carl-Soderberg	Carl Soderberg	F	56	20.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Carl-Soderberg	#FFC432	
LAK	Mike-Richards	Mike Richards	F	56	16.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mike-Richards	#AFB7BA	
WAS	Marcus-Johansson	Marcus Johansson	F	56	18.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Marcus-Johansson	#CF132B	
NSH	Craig-Smith	Craig Smith	F	55	19.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Craig-Smith	#FDBB2F	
PHO	Mikkel-Boedker	Mikkel Boedker	F	55	23.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mikkel-Boedker	#841F27	
NJD	Patrik-Elias	Patrik Elias	F	55	21.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Patrik-Elias	#E03A3E	
ANA	Kyle-Palmieri	Kyle Palmieri	F	55	24.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Kyle-Palmieri	#EF5236	
BOS	Rielly-Smith	Rielly Smith	F	55	22.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Rielly-Smith	#FFC431	
MTL	Tomas-Plekanec	Tomas Plekanec	F	55	21.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tomas-Plekanec	#BF2F38	
EDM	Sam-Gagner	Sam Gagner	F	55	18.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Sam-Gagner	#E66A20	
WPG	Evander-Kane	Evander Kane	F	54	28.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Evander-Kane	#0168AB	
CAL	Mike-Cammalleri	Mike Cammalleri	F	54	20.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mike-Cammalleri	#E03A3E	
NYR	Brad-Richards	Brad Richards	F	54	18.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brad-Richards	#0161AB	
VAN	Daniel-Sedin	Daniel Sedin	F	54	21.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Daniel-Sedin	#047A4A	
SJS	Patrick-Marleau	Patrick Marleau	F	53	20.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Patrick-Marleau	#05535D	
TBL	JT-Brown	JT Brown	F	53	24.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=JT-Brown	#013E7D	
FLO	Sean-Bergenheim	Sean Bergenheim	F	53	20.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Sean-Bergenheim	#C8213F	
MIN	Charlie-Coyle	Charlie Coyle	F	53	20.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Charlie-Coyle	#025736	
MTL	Lars-Eller	Lars Eller	F	53	21.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Lars-Eller	#BF2F38	
NYR	Derrick-Brassard	Derrick Brassard	F	53	17.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Derrick-Brassard	#0161AB	
CAL	Jiri-Hudler	Jiri Hudler	F	53	18.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jiri-Hudler	#E03A3E	
SJS	Joe-Pavelski	Joe Pavelski	F	53	18.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Joe-Pavelski	#05535D	
PHI	Brayden-Schenn	Brayden Schenn	F	52	17.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brayden-Schenn	#F47940	
SJS	Brent-Burns	Brent Burns	F	52	19.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brent-Burns	#05535D	
NJD	Michael-Ryder	Michael Ryder	F	52	23.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Michael-Ryder	#E03A3E	
NYR	Benoit-Pouliot	Benoit Pouliot	F	52	16.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Benoit-Pouliot	#0161AB	
DAL	Ryan-Garbutt	Ryan Garbutt	F	52	23.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-Garbutt	#006A4E	
WPG	Blake-Wheeler	Blake Wheeler	F	52	25.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Blake-Wheeler	#0168AB	
BOS	Jarome-Iginla	Jarome Iginla	F	52	19.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jarome-Iginla	#FFC426	
CAR	Nathan-Gerbe	Nathan Gerbe	F	52	21.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nathan-Gerbe	#E03A3E	
CAR	Jiri-Tlusty	Jiri Tlusty	F	52	19.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jiri-Tlusty	#E03A3E	
VAN	David-Booth	David Booth	F	52	22.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=David-Booth	#047A4A	
LAK	Dustin-Brown	Dustin Brown	F	52	24.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dustin-Brown	#AFB7BA	
EDM	David-Perron	David Perron	F	52	22.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=David-Perron	#E66A20	
WAS	Troy-Brouwer	Troy Brouwer	F	52	15.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Troy-Brouwer	#CF132B	
PHI	Vincent-Lecavalier	Vincent Lecavalier	F	52	17.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Vincent-Lecavalier	#F47940	
PIT	Chris-Kunitz	Chris Kunitz	F	52	23.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Chris-Kunitz	#D1BD80	
TOR	James-Van-Riemsdyk	James Van Riemsdyk	F	52	23.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=James-Van-Riemsdyk	#003777	
WPG	Olli-Jokinen	Olli Jokinen	F	52	15.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Olli-Jokinen	#0168AB	
MIN	Kyle-Brodziak	Kyle Brodziak	F	51	17.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Kyle-Brodziak	#025736	
TOR	Joffrey-Lupul	Joffrey Lupul	F	51	18.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Joffrey-Lupul	#003777	
ANA	Daniel-Winnik	Daniel Winnik	F	51	20.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Daniel-Winnik	#EF5232	
BOS	Patrice-Bergeron	Patrice Bergeron	F	51	20.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Patrice-Bergeron	#FFC430	
