team	player	name	pos	carryinpercent	entriesper60	image	hex	sheet
WAS	Eric-Fehr	Eric Fehr	F	49	17.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Eric-Fehr	#CF132B	
LAK	Drew-Doughty	Drew Doughty	D	49	8.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Drew-Doughty	#AFB7BA	
STL	David-Backes	David Backes	F	49	18.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=David-Backes	#0546A6	
OTT	Milan-Michalek	Milan Michalek	F	48	16.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Milan-Michalek	#E4173E	
SJS	Joe-Thornton	Joe Thornton	F	48	20.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Joe-Thornton	#05535D	
PHI	Sean-Couturier	Sean Couturier	F	48	19.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Sean-Couturier	#F47940	
PHI	Matt-Read	Matt Read	F	48	23.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matt-Read	#F47940	
DAL	Alex-Chiasson	Alex Chiasson	F	48	16.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Alex-Chiasson	#006A4E	
CLB	Cam-Atkinson	Cam Atkinson	F	48	23.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Cam-Atkinson	#00285C	
COL	Maxime-Talbot	Maxime Talbot	F	48	17.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Maxime-Talbot	#8B2942	
MIN	Dany-Heatley	Dany Heatley	F	48	15.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dany-Heatley	#025736	
CAL	Joe-Colborne	Joe Colborne	F	47	19.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Joe-Colborne	#E03A3E	
MTL	Rene-Bourque	Rene Bourque	F	47	23.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Rene-Bourque	#BF2F38	
PHI	Wayne-Simmonds	Wayne Simmonds	F	47	24.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Wayne-Simmonds	#F47940	
MIN	Mikko-Koivu	Mikko Koivu	F	47	20.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mikko-Koivu	#025736	
BUF	Zemgus-Girgensons	Zemgus Girgensons	F	47	21.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Zemgus-Girgensons	#002E71	
FLO	Marcel-Goc	Marcel Goc	F	47	17.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Marcel-Goc	#C8213F	
NSH	Gabriel-Bourque	Gabriel Bourque	F	47	17.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Gabriel-Bourque	#FDBB2F	
PIT	Brandon-Sutter	Brandon Sutter	F	46	21.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brandon-Sutter	#D1BD80	
LAK	Jarrett-Stoll	Jarrett Stoll	F	46	13.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jarrett-Stoll	#AFB7BA	
NYI	Josh-Bailey	Josh Bailey	F	46	19.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Josh-Bailey	#F57D35	
NYR	Derek-Stepan	Derek Stepan	F	46	19.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Derek-Stepan	#0161AB	
EDM	Justin-Schultz	Justin Schultz	D	46	6.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Justin-Schultz	#E66A20	
NYI	Casey-Cizikas	Casey Cizikas	F	46	21.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Casey-Cizikas	#F57D40	
PHO	Lauri-Korpikoski	Lauri Korpikoski	F	46	19.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Lauri-Korpikoski	#841F27	
WPG	Michael-Frolik	Michael Frolik	F	46	21.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Michael-Frolik	#0168AB	
OTT	Erik-Karlsson	Erik Karlsson	D	46	15.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Erik-Karlsson	#E4173E	
VAN	Jannik-Hansen	Jannik Hansen	F	46	22.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jannik-Hansen	#047A4A	
WPG	Devin-Setoguchi	Devin Setoguchi	F	46	18.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Devin-Setoguchi	#0168AB	
MIN	Nino-Niederreiter	Nino Niederreiter	F	46	21.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nino-Niederreiter	#025736	
PHO	Martin-Hanzal	Martin Hanzal	F	45	16.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Martin-Hanzal	#841F27	
ANA	Saku-Koivu	Saku Koivu	F	45	12.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Saku-Koivu	#EF5235	
FLO	Brian-Campbell	Brian Campbell	D	45	10.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brian-Campbell	#C8213F	
VAN	Brad-Richardson	Brad Richardson	F	45	13.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brad-Richardson	#047A4A	
TBL	Nate-Thompson	Nate Thompson	F	45	16.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nate-Thompson	#013E7D	
TOR	David-Clarkson	David Clarkson	F	45	19.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=David-Clarkson	#003777	
DET	Daniel-Alfredsson	Daniel Alfredsson	F	44	22.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Daniel-Alfredsson	#EC1F26	
CAR	Riley-Nash	Riley Nash	F	44	18.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Riley-Nash	#E03A3E	
CLB	RJ-Umberger	RJ Umberger	F	44	19.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=RJ-Umberger	#00285C	
CHI	Marcus-Kruger	Marcus Kruger	F	44	15.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Marcus-Kruger	#E3263A	
LAK	Justin-Williams	Justin Williams	F	44	25.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Justin-Williams	#AFB7BA	
NJD	Dainius-Zubrus	Dainius Zubrus	F	43	20.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dainius-Zubrus	#E03A3E	
BUF	Brian-Flynn	Brian Flynn	F	43	19.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brian-Flynn	#002E69	
CAR	Patrick-Dwyer	Patrick Dwyer	F	43	20.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Patrick-Dwyer	#E03A3E	
CAL	TJ-Galiardi	TJ Galiardi	F	43	23.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=TJ-Galiardi	#E03A3E	
TOR	Jake-Garinder	Jake Garinder	D	43	8.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jake-Garinder	#003777	
PHO	David-Moss	David Moss	F	43	16.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=David-Moss	#841F27	
DET	Brendan-Smith	Brendan Smith	D	43	8.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brendan-Smith	#EC1F26	
PHO	Radim-Vrbata	Radim Vrbata	F	43	21.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Radim-Vrbata	#841F27	
PHO	Keith-Yandle	Keith Yandle	D	42	11.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Keith-Yandle	#841F27	
NYI	Cal-Clutterbuck	Cal Clutterbuck	F	42	21.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Cal-Clutterbuck	#F57D42	
WPG	Jacob-Trouba	Jacob Trouba	D	42	9.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jacob-Trouba	#0168AB	
CAL	Lance-Bouma	Lance Bouma	F	42	15.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Lance-Bouma	#E03A3E	
WPG	Andrew-Ladd	Andrew Ladd	F	42	23.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Andrew-Ladd	#0168AB	
MIN	Matt-Cooke	Matt Cooke	F	42	18.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matt-Cooke	#025736	
CLB	Boone-Jenner	Boone Jenner	F	42	19.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Boone-Jenner	#00285C	
SJS	Tommy-WIngles	Tommy WIngles	F	42	20.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tommy-WIngles	#05535D	
ANA	Nick-Bonino	Nick Bonino	F	41	15.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nick-Bonino	#EF5233	
FLO	Brad-Boyes	Brad Boyes	F	41	21.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brad-Boyes	#C8213F	
PHI	Scott-Hartnell	Scott Hartnell	F	41	17.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Scott-Hartnell	#F47940	
NJD	Steve-Bernier	Steve Bernier	F	41	17.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Steve-Bernier	#E03A3E	
OTT	Colin-Greening	Colin Greening	F	40	18.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Colin-Greening	#E4173E	
NSH	Patric-Hornqvist	Patric Hornqvist	F	40	23.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Patric-Hornqvist	#FDBB2F	
COL	Jamie-McGinn	Jamie McGinn	F	40	14.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jamie-McGinn	#8B2942	
DET	Justin-Abdelkader	Justin Abdelkader	F	40	23.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Justin-Abdelkader	#EC1F26	
LAK	Trevor-Lewis	Trevor Lewis	F	39	22.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Trevor-Lewis	#AFB7BA	
NYI	Travis-Hamonic	Travis Hamonic	D	39	10.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Travis-Hamonic	#F57D31	
COL	Erik-Johnson	Erik Johnson	D	39	8.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Erik-Johnson	#8B2942	
NJD	Stephen-Gionta	Stephen Gionta	F	39	18.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Stephen-Gionta	#E03A3E	
NSH	Roman-Josi	Roman Josi	D	38	13.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Roman-Josi	#FDBB2F	
NSH	Nick-Spaling	Nick Spaling	F	38	15.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nick-Spaling	#FDBB2F	
EDM	Boyd-Gordon	Boyd Gordon	F	38	12.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Boyd-Gordon	#E66A20	
CAL	TJ-Brodie	TJ Brodie	D	38	8.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=TJ-Brodie	#E03A3E	
DET	Drew-Miller	Drew Miller	F	38	19.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Drew-Miller	#EC1F26	
PHI	Mark-Streit	Mark Streit	D	37	8.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mark-Streit	#F47940	
BUF	Marcus-Foligno	Marcus Foligno	F	37	16.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Marcus-Foligno	#002E70	
BUF	Steve-Ott	Steve Ott	F	37	17.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Steve-Ott	#002E72	
WAS	Jason-Chimera	Jason Chimera	F	37	22.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jason-Chimera	#CF132B	
WAS	Joel-Ward	Joel Ward	F	37	18.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Joel-Ward	#CF132B	
EDM	Ryan-Smyth	Ryan Smyth	F	36	20.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-Smyth	#E66A20	
CLB	Mark-Letestu	Mark Letestu	F	36	19.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mark-Letestu	#00285C	
FLO	Scottie-Upshall	Scottie Upshall	F	36	23.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Scottie-Upshall	#C8213F	
NSH	Eric-Nystrom	Eric Nystrom	F	36	21.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Eric-Nystrom	#FDBB2F	
TBL	Victor-Hedman	Victor Hedman	D	36	9.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Victor-Hedman	#013E7D	
FLO	Dmitry-Kulikov	Dmitry Kulikov	D	35	9.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dmitry-Kulikov	#C8213F	
TOR	Nikolai-Kulemin	Nikolai Kulemin	F	34	16.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nikolai-Kulemin	#003777	
SJS	Dan-Boyle	Dan Boyle	D	34	7.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dan-Boyle	#05535D	
LAK	Dwight-King	Dwight King	F	34	18.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dwight-King	#AFB7BA	
BOS	Gregory-Campbell	Gregory Campbell	F	34	14.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Gregory-Campbell	#FFC433	
WAS	Mike-Green	Mike Green	D	33	13.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mike-Green	#CF132B	
NJD	Marek-Zidlicky	Marek Zidlicky	D	33	7.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Marek-Zidlicky	#E03A3E	
NSH	Seth-Jones	Seth Jones	D	33	10.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Seth-Jones	#FDBB2F	
ANA	Cam-Fowler	Cam Fowler	D	33	9.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Cam-Fowler	#EF5229	
CAR	Andrej-Sekera	Andrej Sekera	D	33	10.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Andrej-Sekera	#E03A3E	
CAL	Mark-Giordano	Mark Giordano	D	33	8.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mark-Giordano	#E03A3E	
NYI	Thomas-Hickey	Thomas Hickey	D	33	7.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Thomas-Hickey	#F57D32	
CAR	Justin-Faulk	Justin Faulk	D	32	9.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Justin-Faulk	#E03A3E	
CLB	Jack-Johnson	Jack Johnson	D	32	7.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jack-Johnson	#00285C	
DAL	Alex-Goligoski	Alex Goligoski	D	32	8.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Alex-Goligoski	#006A4E	
EDM	Jeff-Petry	Jeff Petry	D	31	7.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jeff-Petry	#E66A20	
MTL	PK-Subban	PK Subban	D	31	8.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=PK-Subban	#BF2F38	
NYI	Matt-Martin	Matt Martin	F	31	15.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matt-Martin	#F57D39	
CHI	Duncan-Keith	Duncan Keith	D	31	6.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Duncan-Keith	#E3263A	
MIN	Jared-Spurgeon	Jared Spurgeon	D	31	9.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jared-Spurgeon	#025736	
WAS	Dimitry-Orlov	Dimitry Orlov	D	31	9.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dimitry-Orlov	#CF132B	
PIT	Craig-Adams	Craig Adams	F	31	17.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Craig-Adams	#D1BD80	
TBL	Eric-Brewer	Eric Brewer	D	30	7.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Eric-Brewer	#013E7D	
BUF	Jamie-McBain	Jamie McBain	D	30	6.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jamie-McBain	#002E64	
CAL	Kris-Russell	Kris Russell	D	30	7.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Kris-Russell	#E03A3E	
BOS	Torey-Krug	Torey Krug	D	29	8.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Torey-Krug	#FFC428	
CHI	Brandon-Bollig	Brandon Bollig	F	29	21.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brandon-Bollig	#E3263A	
STL	Alex-Pietrangelo	Alex Pietrangelo	D	29	12.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Alex-Pietrangelo	#0546A0	
NYR	Ryan-McDonagh	Ryan McDonagh	D	29	7.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-McDonagh	#0161AB	
NYI	Colin-McDonald	Colin McDonald	F	29	23.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Colin-McDonald	#F57D41	
STL	Kevin-Shattenkirk	Kevin Shattenkirk	D	28	11.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Kevin-Shattenkirk	#0546A2	
BUF	Christian-Ehrhoff	Christian Ehrhoff	D	28	9.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Christian-Ehrhoff	#002E62	
OTT	Chris-Neil	Chris Neil	F	28	17.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Chris-Neil	#E4173E	
PHO	Oliver-Ekman-Larsson	Oliver Ekman-Larsson	D	28	9.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Oliver-Ekman-Larsson	#841F27	
BUF	Henrik-Tallinder	Henrik Tallinder	D	27	7.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Henrik-Tallinder	#002E66	
TOR	Dion-Phaneuf	Dion Phaneuf	D	26	5.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dion-Phaneuf	#003777	
DAL	Brendon-Dillon	Brendon Dillon	D	26	5.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brendon-Dillon	#006A4E	
MIN	Marco-Scandella	Marco Scandella	D	25	9.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Marco-Scandella	#025736	
WAS	John-Carlson	John Carlson	D	25	9.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=John-Carlson	#CF132B	
NSH	Ryan-Ellis	Ryan Ellis	D	25	10.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-Ellis	#FDBB2F	
NYR	Anton-Stralman	Anton Stralman	D	24	8.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Anton-Stralman	#0161AB	
PIT	Olli-Maatta	Olli Maatta	D	24	7.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Olli-Maatta	#D1BD80	
TBL	Radko-Gudas	Radko Gudas	D	24	7.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Radko-Gudas	#013E7D	
CAL	Chris-Butler	Chris Butler	D	24	6.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Chris-Butler	#E03A3E	
ANA	Hampus-Lindholm	Hampus Lindholm	D	23	7.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Hampus-Lindholm	#EF5226	
CHI	Johnny-Oduya	Johnny Oduya	D	23	8.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Johnny-Oduya	#E3263A	
NJD	Andy-Greene	Andy Greene	D	22	8.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Andy-Greene	#E03A3E	
MIN	Ryan-Suter	Ryan Suter	D	22	7.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-Suter	#025736	
SJS	Justin-Braun	Justin Braun	D	22	9.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Justin-Braun	#05535D	
STL	Jay-Bouwmeester	Jay Bouwmeester	D	22	8.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jay-Bouwmeester	#0546A1	
WPG	Zach-Bogosian	Zach Bogosian	D	22	9.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Zach-Bogosian	#0168AB	
SJS	Jason-Demers	Jason Demers	D	22	7.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jason-Demers	#05535D	
TBL	Matt-Carle	Matt Carle	D	21	6.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matt-Carle	#013E7D	
LAK	Slava-Voynov	Slava Voynov	D	21	7.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Slava-Voynov	#AFB7BA	
OTT	Jared-Cowen	Jared Cowen	D	21	8.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jared-Cowen	#E4173E	
FLO	Erik-Gudbranson	Erik Gudbranson	D	21	7.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Erik-Gudbranson	#C8213F	
VAN	Kevin-Bieksa	Kevin Bieksa	D	21	9.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Kevin-Bieksa	#047A4A	
PIT	Tanner-Glass	Tanner Glass	F	21	13.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tanner-Glass	#D1BD80	
BOS	Zdeno-Chara	Zdeno Chara	D	20	6.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Zdeno-Chara	#FFC422	
FLO	Tom-Gilbert	Tom Gilbert	D	20	8.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tom-Gilbert	#C8213F	
VAN	Dan-Hamhuis	Dan Hamhuis	D	20	9.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dan-Hamhuis	#047A4A	
NSH	Shea-Weber	Shea Weber	D	20	5.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Shea-Weber	#FDBB2F	
NYR	Marc-Staal	Marc Staal	D	20	6.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Marc-Staal	#0161AB	
CAR	Ron-Hainsey	Ron Hainsey	D	19	7.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ron-Hainsey	#E03A3E	
DET	Niklas-Kronwall	Niklas Kronwall	D	19	5.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Niklas-Kronwall	#EC1F26	
SJS	Marc-Eduoard-Vlasic	Marc-Eduoard Vlasic	D	19	9.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Marc-Eduoard-Vlasic	#05535D	
NYI	Calvin-de-Haan	Calvin de Haan	D	19	8.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Calvin-de-Haan	#F57D38	
TOR	Carl-Gunnarsson	Carl Gunnarsson	D	19	5.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Carl-Gunnarsson	#003777	
PHI	Braydon-Coburn	Braydon Coburn	D	18	5.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Braydon-Coburn	#F47940	
DAL	Sergei-Gonchar	Sergei Gonchar	D	18	5.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Sergei-Gonchar	#006A4E	
COL	Andre-Benoit	Andre Benoit	D	17	7.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Andre-Benoit	#8B2942	
VAN	Alex-Edler	Alex Edler	D	17	10.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Alex-Edler	#047A4A	
OTT	Marc-Methot	Marc Methot	D	16	7.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Marc-Methot	#E4173E	
CLB	David-Savard	David Savard	D	16	8.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=David-Savard	#00285C	
CHI	Brent-Seabrook	Brent Seabrook	D	16	7.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brent-Seabrook	#E3263A	
MTL	Andrei-Markov	Andrei Markov	D	16	5.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Andrei-Markov	#BF2F38	
DET	Kyle-Quincey	Kyle Quincey	D	16	7.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Kyle-Quincey	#EC1F26	
MIN	Jonas-Bordin	Jonas Bordin	D	16	7.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jonas-Bordin	#025736	
DAL	Jordie-Benn	Jordie Benn	D	15	8.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jordie-Benn	#006A4E	
ANA	Francois-Beauchemin	Francois Beauchemin	D	15	6.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Francois-Beauchemin	#EF5227	
CHI	Nicklas-Hjalmarsson	Nicklas Hjalmarsson	D	14	6.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nicklas-Hjalmarsson	#E3263A	
DET	Danny-Dekeyser	Danny Dekeyser	D	14	6.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Danny-Dekeyser	#EC1F26	
PHI	Nick-Grossmann	Nick Grossmann	D	13	6.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nick-Grossmann	#F47940	
WPG	Tobias-Enstrom	Tobias Enstrom	D	13	7.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tobias-Enstrom	#0168AB	
